,xmin,ymin,xmax,ymax,Object,labels
0,301,141,585,184,Google,
1,807,155,980,179,Monthly,
2,1034,155,1217,179,invoice,
3,477,156,522,196,g,
4,805,179,877,213,Oct,
5,894,184,925,207,"1,",
6,942,158,1039,212,2047,
7,1056,194,1069,197,-,
8,1083,183,1156,203,Oct,
9,1171,184,1228,207,"31,",
10,1246,184,1343,203,2017,
11,303,212,405,229,Google,Issuer Address
12,415,212,476,226,Asia,Issuer Address
13,490,212,583,226,Pacific,Issuer Address
14,595,212,648,226,Pte.,Issuer Address
15,662,212,711,226,Ltd.,Issuer Address
16,804,215,935,241,Services,
17,1244,219,1346,237,Google,
18,1357,220,1489,233,AdWords,
19,303,238,336,252,70,Issuer Address
20,349,238,421,252,Pasir,Issuer Address
21,432,238,547,256,Panjang,Issuer Address
22,561,238,634,252,Road,Issuer Address
23,796,249,852,276,Bill,
24,913,253,942,267,ID,
25,1244,253,1480,267,0724-8284-3023,
26,302,264,409,280,"#03-71,",Issuer Address
27,423,264,564,281,Mapletree,Issuer Address
28,577,264,706,278,Business,Issuer Address
29,718,264,772,282,City,
30,829,257,900,271,mins,
31,1316,261,1324,263,-,
32,1399,261,1408,263,-,
33,303,290,448,308,Singapore,Issuer Address
34,462,290,559,304,117371,Issuer Address
35,804,286,914,304,Google,
36,925,287,1067,300,AdWords,
37,1080,287,1109,300,ID,
38,1244,287,1444,300,819-637-6714,
39,302,324,353,338,Tax,Issuer Address
40,366,324,564,338,Identification,Issuer Address
41,578,324,699,338,Number,Issuer Address
42,805,320,914,334,Invoice,Order Number
43,927,320,1048,334,Number,Order Number
44,1244,320,1392,334,6775-300,Order Number
45,1399,320,1683,334,1-2058-6094-102017,Order Number
46,302,350,487,364,200817984R,
47,805,354,914,368,Invoice,Issuer Date
48,927,354,994,368,Date,Issuer Date
49,1244,353,1292,368,Oct,Issuer Date
50,1304,354,1344,370,"31,",Issuer Date
51,1357,354,1427,368,2017,Issuer Date
52,304,383,349,397,Bill,
53,361,383,406,397,To:,
54,303,409,398,427,Syslab,Shipping Address
55,408,410,597,427,Technologies,Shipping Address
56,609,409,663,423,Sdn,Shipping Address
57,677,410,730,423,Bhd,Shipping Address
58,304,436,438,449,NADEEM,Shipping Address
59,452,436,592,450,HUSSAIN,Shipping Address
60,303,462,368,476,3-4B,Shipping Address
61,382,462,515,476,Incubator,Shipping Address
62,525,462,548,478,"3,",Shipping Address
63,561,462,724,480,Technology,Shipping Address
64,737,462,801,476,Park,Shipping Address
65,304,488,428,506,Malaysia,Shipping Address
66,304,514,373,528,Bukit,Shipping Address
67,384,514,436,528,Jalil,Shipping Address
68,303,540,390,554,57000,Shipping Address
69,403,541,482,554,Kuala,Shipping Address
70,495,540,604,558,Lumpur,Shipping Address
71,304,567,407,581,KUALA,Shipping Address
72,419,567,553,581,LUMPUR,Shipping Address
73,304,593,428,610,Malaysia,Shipping Address
74,805,639,921,654,Record,
75,935,639,967,654,of,
76,979,640,1138,658,payments,
77,1152,639,1290,654,received,
78,605,664,660,707,Po,
79,935,664,1140,707,Description,
80,1548,664,1696,707,Amount,
81,376,703,425,717,Oct,
82,436,703,458,719,"8,",
83,471,703,542,717,2017,
84,624,703,761,717,Automatic,
85,773,707,902,721,payment:,
86,914,703,975,717,Visa,
87,996,703,1133,717,++++O0247,
88,1592,703,1777,721,"(RM2,000.00",
89,367,732,415,746,Oct,
90,426,732,467,748,"30,",
91,480,732,551,746,2017,
92,619,732,751,750,IPayment:,
93,764,732,825,746,Visa,
94,1592,732,1788,750,"(RM2,088.60)|",
96,841,786,957,801,Record,
97,970,786,1003,801,of,
98,1014,786,1108,801,Costs,
99,1121,786,1180,801,and,
100,1192,786,1256,800,VAT,
101,301,812,304,841,[,
102,403,816,470,841,Date,
103,569,812,574,841,I,
104,813,816,988,841,Description,
105,1228,812,1233,841,I,
106,1333,816,1404,841,Cost,
107,1504,812,1510,841,I,
108,1613,816,1686,841,Total,
109,1792,812,1795,841,|,
