,xmin,ymin,xmax,ymax,Object,labels
0,125,76,309,92,SERVICES,Shipping Address
1,320,76,370,92,TO,Shipping Address
2,131,106,232,121,Invoice,Shipping Address
3,243,107,268,121,#:,Shipping Address
4,283,106,356,121,100.1,Shipping Address
5,1743,105,1912,120,Hloom.com,Invoice Address
6,131,134,206,149,Date:,Shipping Address
7,218,134,320,152,August,Shipping Address
8,331,134,355,151,"9,",Shipping Address
9,1624,134,1693,149,1912,Invoice Address
10,1704,134,1831,152,Wayside,Invoice Address
11,1844,134,1914,149,Lane,Invoice Address
12,130,162,273,177,Customer,Shipping Address
13,286,162,323,176,ID:,Shipping Address
14,336,162,426,177,57922,Shipping Address
15,1537,162,1593,177,San,Invoice Address
16,1607,162,1755,179,"Francisco,",Invoice Address
17,1769,162,1813,177,CA,Invoice Address
18,1824,162,1914,177,94108,Invoice Address
19,131,190,170,204,Bill,Shipping Address
20,182,190,228,205,To:,Shipping Address
21,240,190,351,205,Andrew,Shipping Address
22,362,190,393,205,G.,Shipping Address
23,407,190,503,205,Garcia,Shipping Address
24,1683,190,1755,209,(415),Invoice Address
25,1770,190,1821,205,123,Invoice Address
26,1833,190,1868,205,45,Invoice Address
27,1880,190,1914,205,67,Invoice Address
28,130,218,250,233,Contact:,Shipping Address
29,263,218,533,237,agg@website.com,Shipping Address
30,1628,218,1912,235,hloom@hloom.com,Invoice Address
32,160,303,326,317,SERVICES,--
35,131,355,333,382,DECRIPTION,--
36,1265,355,1382,382,HOURS,--
37,1520,359,1607,373,RATE,--
38,1731,359,1875,374,AMOUNT,--
39,131,387,200,402,Rear,--
40,212,387,326,406,Bumper,--
41,338,387,450,406,painting,--
42,1390,388,1433,402,2.5,--
43,1639,388,1674,402,60,--
44,1796,387,1914,404,$150.00,--
45,131,416,200,430,Rear,--
46,212,416,315,430,Fender,--
47,326,416,438,434,painting,--
48,1417,416,1433,430,3,--
49,1639,416,1674,430,60,--
50,1796,415,1914,432,$180.00,--
51,131,444,211,459,Panel,--
52,225,444,333,462,Realign,--
53,1417,444,1433,459,3,--
54,1639,444,1674,459,40,--
55,1796,443,1914,461,$120.00,--
56,131,472,198,486,Dent,--
57,211,472,329,490,"Repairs,",--
58,343,472,407,486,Coin,--
59,420,472,481,486,Size,--
60,1420,472,1428,486,1,--
61,1639,472,1674,486,20,--
62,1815,471,1914,488,$20.00,--
63,131,500,198,515,Dent,--
64,211,500,329,519,"Repairs,",--
65,344,500,383,519,Up,--
66,393,501,419,515,to,--
67,431,500,469,514,A4,--
68,481,500,542,515,Size,--
69,1420,500,1428,514,1,--
70,1639,500,1674,515,30,--
71,1815,499,1914,517,$30.00,--
72,1833,527,1914,545,$0.00,--
73,1833,556,1914,573,$0.00,--
74,1833,584,1914,601,$0.00,--
75,130,641,242,656,NOTES,--
76,1494,637,1674,665,SUBTOTAL,--
77,1796,640,1914,658,$500.00,--
78,1510,669,1575,683,TAX,--
79,1587,669,1674,683,RATE,--
80,1822,669,1914,684,7.00%,--
81,1505,697,1605,712,TOTAL,--
82,1613,698,1674,711,TAX,--
83,1813,695,1914,714,$35.00,--
84,1559,725,1673,740,OTHER,--
85,1863,725,1914,740,100,--
86,1564,753,1674,768,TOTAL,--
87,131,810,229,825,Please,--
88,240,811,346,825,contact,--
89,358,810,462,828,[Name],--
90,475,811,500,825,at,--
91,512,810,614,828,[Phone,--
92,625,810,650,828,#],--
93,661,810,718,825,with,--
94,730,814,782,828,any,--
95,792,810,932,828,questions,--
96,945,810,1081,828,regarding,--
97,1093,810,1143,825,this,--
98,1156,810,1255,825,invoice,--
99,160,858,770,926,INVOICE,--
100,1658,893,1769,909,Invoice,--
101,1781,893,1809,909,#:,--
102,1826,893,1907,909,100:,--
103,1570,921,1653,937,Date:,Issuer Date
104,1666,921,1780,941,August,Issuer Date
105,1793,921,1819,940,"9,",Issuer Date
106,1834,921,1913,937,2012,Issuer Date
108,274,1470,443,1485,Hloom.com,--
109,461,1470,464,1489,|,--
110,482,1471,553,1485,1912,--
111,564,1470,689,1489,Wayside,--
112,702,1471,768,1485,Lane,--
113,786,1470,789,1489,|,--
114,806,1471,855,1485,San,--
115,869,1471,1014,1488,"Francisco,",--
116,1026,1471,1065,1485,CA,--
117,1075,1471,1167,1485,94108,--
118,1183,1470,1186,1489,|,--
119,1204,1470,1279,1488,(415),--
120,1293,1471,1344,1485,123,--
121,1355,1471,1389,1485,45,--
122,1402,1471,1436,1485,67,--
123,1454,1470,1457,1489,|,--
124,1474,1470,1769,1487,hloom@hloom.com,--
