,xmin,ymin,xmax,ymax,Object,labels
0,720,112,799,132,MR.,Issuer Address
1,819,112,930,132,D.LY.,Issuer Address
2,946,112,1156,132,TRADING,Issuer Address
3,1174,112,1268,132,SDN,Issuer Address
4,1288,112,1384,132,BHD,Issuer Address
5,1401,119,1547,134,(:s7942s8-v,Issuer Address
6,1526,108,1551,143,),Issuer Address
7,822,144,872,155,LOT,Issuer Address
8,883,144,966,155,1851-A,Issuer Address
9,975,144,990,155,&,Issuer Address
10,1002,144,1090,157,"1851-B,",Issuer Address
11,1101,144,1181,155,JALAN,Issuer Address
12,1193,144,1243,155,KPB,Issuer Address
13,1253,144,1272,157,"6,",Issuer Address
14,792,164,922,176,KAWASAN,Issuer Address
15,933,164,1148,176,PERINDUSTRIAN,Issuer Address
16,1159,164,1310,178,"BALAKONG,",Issuer Address
17,850,184,909,196,SERI,Issuer Address
18,921,184,1095,198,"KEMBANGAN,",Issuer Address
19,1106,184,1252,196,SELANGOR,Issuer Address
28,785,205,847,216,TEL:,Issuer Address
29,864,205,1019,216,03-89611338,Issuer Address
30,1061,205,1124,216,FAX:,Issuer Address
31,1152,205,1308,216,03-89640925,Issuer Address
32,906,225,960,237,GST,Issuer Address
33,969,225,993,237,ID,Issuer Address
34,1005,228,1009,237,:,Issuer Address
35,1019,225,1196,237,002058092544,Issuer Address
36,433,249,461,260,>,Order Number
37,73,250,233,287,STATUS/KEY,
38,252,272,256,280,:,
39,315,269,330,280,P,
40,345,269,404,281,MHQ,
41,1251,252,1649,276,PURCHASE,
42,1698,252,1946,276,ORDER,
43,74,289,144,301,DATE,Issuer Date
44,155,292,159,301,:,Issuer Date
45,314,280,446,311,06/07/2020,
46,1249,289,1327,301,PRINT,Print date
47,1336,289,1406,301,DATE,Print date
48,1418,292,1422,301,:,Print date
49,1459,289,1590,301,06/07/2020,Print date
50,1249,309,1321,321,PAGE,
51,1333,313,1337,321,:,
52,1459,310,1471,321,2,
53,1489,310,1509,321,of,
54,1519,310,1531,321,3,
55,74,336,81,350,[,Vendor Address
56,89,336,221,347,SUPPLIER,Vendor Address
57,230,336,237,350,],Vendor Address
58,1038,336,1114,350,[SHIP,Shipping Address
59,1123,336,1174,350,TO],Shipping Address
60,73,354,154,385,Amoo1,Vendor Address
61,1038,371,1097,383,MHa,Shipping Address
62,73,383,355,395,A.W.FABER-CASTELL,Vendor Address
63,364,384,402,398,(M),Vendor Address
64,412,383,466,395,SDN,Vendor Address
65,477,384,532,395,BHD,Vendor Address
66,1038,391,1083,402,Mm.,Shipping Address
67,1094,391,1157,402,DALY.,Shipping Address
68,1167,391,1287,402,TRADING,Shipping Address
69,1297,391,1351,402,SDN,Shipping Address
70,1362,391,1417,402,BHD,Shipping Address
71,74,404,111,416,NO,Vendor Address
72,120,404,140,418,"9,",Vendor Address
73,150,404,231,416,JALAN,Vendor Address
74,240,404,294,417,"TP2,",Vendor Address
75,1038,407,1089,419,LOT,Shipping Address
76,1099,407,1162,421,"1027,",Shipping Address
77,1172,407,1259,419,JALAN,Shipping Address
78,1270,407,1305,418,KB,Shipping Address
79,1315,407,1372,421,"2/15,",Shipping Address
80,73,424,164,436,TAMAN,Vendor Address
81,175,424,390,436,PERINDUSTRIAN,Vendor Address
82,401,424,463,436,SIME,Vendor Address
83,475,424,532,438,"UEP,",Vendor Address
84,1038,424,1172,436,KAMPUNG,Shipping Address
85,1184,424,1257,436,BARU,Shipping Address
86,1269,424,1427,438,"BALAKONG,",Shipping Address
87,73,445,145,456,47620,Vendor Address
88,155,445,265,456,SUBANG,Vendor Address
89,275,445,346,458,"JAYA,",Vendor Address
90,358,445,510,456,SELANGOR.,Vendor Address
91,1074,440,1186,470,een,Shipping Address
92,1190,441,1287,470,ORD,Shipping Address
93,1287,440,1388,470,SSRN,Shipping Address
94,73,465,191,496,CONTAC,Vendor Address
95,241,465,300,496,Me,Vendor Address
96,397,465,473,496,TANG,Vendor Address
97,496,465,559,476,FAK:,Vendor Address
98,585,465,741,477,(03-80247886,Vendor Address
99,1037,472,1098,484,TEL:,Shipping Address
100,1127,472,1283,484,03-89611338,Shipping Address
101,1460,472,1523,484,FAX:,Shipping Address
