,xmin,ymin,xmax,ymax,Object,labels
0,151,141,595,215,WHM,
1,595,133,875,245,2S,
2,1352,0,2048,254,   ,
3,1562,223,1733,241,WHMCS,Issuer Address
4,1751,223,1889,241,Limited,Issuer Address
5,1657,251,1792,263,Woodside,Issuer Address
6,1805,251,1891,263,House,Issuer Address
7,1643,271,1777,287,Broadway,Issuer Address
8,1787,271,1891,284,Avenue,Issuer Address
9,1699,292,1778,305,Milton,Issuer Address
10,1791,292,1890,308,Keynes,Issuer Address
11,1744,313,1822,325,MK14,Issuer Address
12,1833,313,1891,326,5QF,Issuer Address
13,1471,354,1530,366,VAT,Issuer Address
14,1541,354,1655,367,Number:,Issuer Address
15,1667,354,1710,367,GB,Issuer Address
16,1721,354,1770,367,927,Issuer Address
17,1781,354,1847,367,7746,Issuer Address
18,1859,354,1891,367,76,Issuer Address
19,159,407,332,428,Invoice,Order Number
20,348,408,569,428,#5367461,Order Number
21,159,447,264,461,Invoice,Issuer Date
22,277,447,354,461,Date:,Issuer Date
23,370,447,431,461,17th,Issuer Date
24,445,447,501,461,Feb,Issuer Date
25,512,447,586,461,2019,Issuer Date
26,158,478,217,492,Due,Deliver Date
27,231,478,309,492,Date:,Deliver Date
28,321,478,395,491,22nd,Deliver Date
29,409,478,464,491,Feb,Deliver Date
30,476,478,550,491,2019,Deliver Date
31,158,556,293,570,Invoiced,Invoice Address
32,306,556,346,570,To,Invoice Address
33,157,579,248,594,Syslab,Invoice Address
34,258,579,440,594,Technologies,Invoice Address
35,451,579,503,591,Sdn,Invoice Address
36,516,579,567,591,Bhd,Invoice Address
37,156,599,244,612,ATTN:,Invoice Address
38,256,599,369,612,Nadeem,Invoice Address
39,382,600,489,612,Hussain,Invoice Address
40,157,620,220,632,3-4B,Invoice Address
41,233,620,359,632,Incubator,Invoice Address
42,369,620,383,632,3,Invoice Address
43,156,641,315,656,Technology,Invoice Address
44,327,641,388,653,Park,Invoice Address
45,399,641,525,656,"Malaysia,",Invoice Address
46,538,641,604,653,Bukit,Invoice Address
47,614,641,665,653,Jalil,Invoice Address
48,158,661,235,674,Kuala,Invoice Address
49,246,661,355,677,"Lumpur,",Invoice Address
50,367,661,422,676,"WP,",Invoice Address
51,434,662,518,674,56000,Invoice Address
52,158,682,277,698,Malaysia,Invoice Address
53,746,750,927,783,Description,
54,1683,760,1755,773,Total,
55,159,789,264,805,Monthly,
56,276,789,356,802,Lease,
57,368,789,405,802,No,
58,417,789,536,805,Branding,
59,548,796,556,798,-,
60,568,789,993,802,Leased-1f0cae5798a571f1f16C0O,
61,1005,789,1167,805,(22/02/2019,
62,1179,796,1186,798,-,
63,1197,789,1359,805,21/03/2019),
64,1637,789,1729,804,$18.95,
65,1741,789,1803,802,USD,
66,1392,840,1448,852,Sub,
67,1458,840,1530,852,Total,
68,1637,839,1729,854,$18.95,
69,1741,840,1803,852,USD,
70,1443,865,1531,890,Credit,
71,1645,869,1721,884,$0.00,
72,1733,869,1795,882,USD,
73,1458,889,1530,922,Total,
74,1636,899,1729,913,$18.95,
75,1741,899,1803,912,USD,
76,156,980,411,997,Transactions,
77,238,1038,411,1050,Transaction,
78,424,1038,488,1050,Date,
79,739,1034,864,1058,Gateway,
80,1175,1038,1349,1050,Transaction,
81,1361,1038,1389,1050,ID,
82,1663,1038,1779,1050,Amount,
83,267,1067,322,1080,17th,
84,335,1067,385,1080,Feb,
85,395,1067,462,1080,2019,
86,755,1057,849,1090,PayPal,
87,1132,1067,1434,1080,020452273G546151Y,
88,1637,1066,1730,1081,$18.95,
89,1742,1067,1803,1080,USD,
90,1417,1097,1532,1109,Balance,
91,1645,1096,1721,1111,$0.00,
92,1733,1097,1795,1109,USD,
93,818,1177,870,1188,PDF,
94,879,1177,1007,1188,Generated,
95,1017,1180,1045,1188,on,
96,1057,1177,1106,1188,17th,
97,1118,1177,1162,1188,Feb,
98,1172,1177,1231,1188,2019,
