,xmin,ymin,xmax,ymax,Object,labels
0,199,160,312,228,S,
1,337,170,825,214,exabytes”,
2,156,387,244,407,Tax,Order Number
3,262,387,435,407,Invoice,Order Number
4,451,387,943,408,#MY-PAID-80499042,Order Number
5,159,426,264,440,Invoice,Issuer Date
6,277,426,354,440,Date:,Issuer Date
7,367,426,537,440,28/04/2018,Issuer Date
8,158,457,217,471,Due,Deliver Date
9,231,457,309,471,Date:,Deliver Date
10,321,457,491,471,30/04/2018,Deliver Date
11,158,536,293,550,Invoiced,Invoice Address
12,306,536,346,550,To,Invoice Address
13,157,558,258,574,SysLab,Invoice Address
14,268,558,451,574,Technologies,Invoice Address
15,462,558,523,570,SDN,Invoice Address
16,537,558,598,570,BHD,Invoice Address
17,156,579,244,591,ATTN:,Invoice Address
18,256,579,315,591,Dani,Invoice Address
19,328,579,436,591,Hussain,Invoice Address
20,156,600,220,612,3-4B,Invoice Address
21,233,600,359,612,Incubator,Invoice Address
22,369,600,391,614,"3,",Invoice Address
23,402,600,465,612,TPM,Invoice Address
24,158,620,224,632,Bukit,Invoice Address
25,234,620,285,632,Jalil,Invoice Address
26,158,641,235,653,Kuala,Invoice Address
27,246,641,355,656,"Lumpur,",Invoice Address
28,367,641,474,656,Wilayah,Invoice Address
29,487,641,664,655,"Persekutuan,",Invoice Address
30,677,641,760,653,57000,Invoice Address
31,158,662,277,677,Malaysia,Invoice Address
32,1352,0,2048,261,     ,
33,1351,223,1530,246,Exabytes,Issuer Address
34,1547,223,1707,241,Network,Issuer Address
35,1722,223,1796,241,Sdn,Issuer Address
36,1816,223,1889,241,Bhd,Issuer Address
37,1381,251,1474,265,"1-18-8,",Issuer Address
38,1487,251,1596,263,Suntech,Issuer Address
39,1608,251,1637,265,@,Issuer Address
40,1650,251,1752,267,Penang,Issuer Address
41,1764,251,1891,267,Cybercity,Issuer Address
42,1560,271,1657,287,Lintang,Issuer Address
43,1670,271,1776,287,Mayang,Issuer Address
44,1790,271,1857,284,Pasir,Issuer Address
45,1867,272,1889,286,"3,",Issuer Address
46,1366,292,1448,305,11950,Issuer Address
47,1460,292,1544,308,Bayan,Issuer Address
48,1557,292,1626,307,"Baru,",Issuer Address
49,1640,292,1750,308,"Penang,",Issuer Address
50,1763,292,1889,308,Malaysia.,Issuer Address
51,1549,334,1611,346,GST,Issuer Address
52,1622,334,1665,346,No.,Issuer Address
53,1678,334,1889,346,001452367872.,Issuer Address
54,761,732,927,759,Description,
55,1683,739,1755,752,Total,
56,159,769,261,781,Domain,
57,274,769,390,781,Renewal,
58,402,776,410,777,-,
59,421,769,635,785,altitude.com.my,
60,646,776,654,777,-,
61,667,769,675,781,1,
62,690,769,778,781,Year/s,
63,790,769,952,785,(02/05/2018,
64,963,776,971,777,-,
65,982,769,1143,785,01/05/2019),
66,1660,769,1781,781,RM60.00,
67,159,819,261,832,Domain,
68,274,819,390,832,Renewal,
69,402,826,410,827,-,
70,422,819,668,835,mydesign.com.my,
71,679,826,687,827,-,
72,700,819,707,831,1,
73,723,819,811,832,Year/s,
74,823,819,984,835,(30/04/2018,
75,996,826,1003,827,-,
76,1014,819,1176,835,29/04/2019),
77,1660,819,1781,832,RM60.00,
78,1392,869,1448,882,Sub,
79,1458,870,1530,882,Total,
80,1651,870,1790,882,RM120.00,
81,1373,899,1459,911,6.00%,
82,1469,899,1532,911,GST,
83,1668,899,1773,911,RM7.20,
84,1443,925,1531,949,Credit,
85,1668,929,1773,941,RMO.00,
86,1458,954,1530,979,Total,
87,1651,958,1790,971,RM127.20,
88,156,1039,411,1056,Transactions,
89,238,1097,411,1109,Transaction,
90,424,1097,488,1109,Date,
91,739,1093,864,1117,Gateway,
92,1175,1097,1349,1109,Transaction,
93,1361,1097,1389,1109,ID,
94,1663,1097,1779,1109,Amount,
95,287,1126,439,1139,28/04/2018,
96,705,1126,755,1142,Pay,
97,766,1126,796,1142,by,
98,808,1126,898,1142,Paypal,
99,1132,1126,1280,1139,913213201,
100,1289,1126,1432,1139,R633970N,
101,1652,1126,1791,1139,RM127.20,
102,1417,1156,1532,1168,Balance,
103,1669,1156,1774,1168,RMO.0O,
104,838,1236,890,1247,PDF,
105,899,1236,1027,1247,Generated,
106,1037,1239,1065,1247,on,
107,1075,1236,1211,1247,29/06/2018,
