,xmin,ymin,xmax,ymax,Object,labels
0,866,30,1357,80,INVOICE,--
1,1408,31,1769,93,Kroger,--
2,137,148,187,162,Old,Shipping Address
3,201,148,310,165,"Byland,",Shipping Address
4,326,148,392,162,Park,Shipping Address
5,405,148,622,165,"Croydon"",CRO",Shipping Address
6,635,148,702,162,8RQ,Shipping Address
7,1065,148,1202,162,INVOICE,Order Number
8,1213,148,1232,162,#,Order Number
9,1273,147,1377,160,140291,Order Number
10,146,106,243,119,Fraser,Shipping Address
11,255,106,377,123,Burgess,Shipping Address
12,1065,194,1202,207,INVOICE,Issuer Date
13,1216,194,1303,207,DATE,Issuer Date
14,1355,194,1518,207,31/05/2021,Issuer Date
15,136,245,210,258,Piers,Issuer Address
16,223,245,309,258,Owen,Issuer Address
17,1396,238,1532,271,$271,--
18,137,271,227,286,Kroger,Issuer Address
19,126,323,363,339,"Caterham"",CR3",Issuer Address
20,377,323,455,337,Road,Issuer Address
21,468,323,604,337,Guildford,Issuer Address
22,617,323,743,340,Croydon,Issuer Address
24,137,567,366,593,DESCRIPTION,--
25,1090,571,1166,584,UNIT,--
26,1179,571,1280,584,PRICE,--
27,1424,571,1492,585,QTY,--
28,1768,571,1915,584,AMOUNT,--
29,136,607,204,620,Bran,--
30,217,607,343,620,Oatmeal,--
31,358,607,449,620,Raisin,--
32,1219,607,1280,620,1.87,--
33,1433,607,1442,620,1,--
34,1815,607,1876,620,1.87,--
35,136,644,265,661,Masonry,--
36,277,644,429,657,Chocolate,--
37,441,644,563,657,Cookies,--
38,1217,644,1280,657,7-O7,--
39,1431,644,1466,657,36,--
40,1812,644,1915,657,254.52,--
41,1313,728,1491,754,SUBTOTAL,--
42,1812,732,1915,745,256.39,--
43,1282,774,1348,787,Sale,--
44,1359,775,1403,787,tax,--
45,1416,774,1490,788,6.0%,--
46,1854,774,1934,787,15.38,--
47,1360,907,1491,923,TOTAL,--
48,1769,906,1916,925,$271.77,--
