,xmin,ymin,xmax,ymax,Object,labels
0,120,142,190,176,Mi,
1,189,142,267,176,46,
2,272,146,422,172,ft,
3,383,142,576,176,"""p=,",
4,925,149,1123,237,INVOICE,
5,1446,164,1576,213,=,
6,1599,153,1865,213,Por,
7,76,241,223,253,MALAYSIA,Vendor Address
8,234,241,345,253,DIGITAL,Vendor Address
9,356,241,501,253,ECONOMY,Vendor Address
10,510,241,722,253,CORPORATION,Vendor Address
11,732,241,790,253,SDN,Vendor Address
12,802,241,860,253,BHD,Vendor Address
13,870,241,1012,256,(389346-D),Vendor Address
14,75,261,167,276,eXpats,Vendor Address
15,177,260,277,273,Service,Vendor Address
16,287,260,375,273,Centre,Vendor Address
28,76,280,138,292,Suite,Vendor Address
29,148,280,192,294,"2.1,",Vendor Address
30,205,280,269,292,Level,Vendor Address
31,280,280,300,294,"2,",Vendor Address
32,313,280,367,292,East,Vendor Address
33,377,280,447,295,"Wing,",Vendor Address
34,1477,270,1531,283,SST,
35,1541,270,1581,283,NO,
36,1666,274,1670,282,2,
37,1695,271,1962,283,W24-1809-32000024,
38,75,300,136,311,3539,Vendor Address
39,148,299,223,311,Mercu,Vendor Address
40,235,299,297,312,MQA,Vendor Address
41,308,299,418,315,(formerly,Vendor Address
42,428,299,507,311,known,Vendor Address
43,518,302,546,311,as,Vendor Address
44,556,299,608,311,Axis,Vendor Address
45,620,299,723,315,"Eureka),",Vendor Address
46,1477,296,1592,308,INVOICE,Order Number
47,1603,296,1643,308,NO,Order Number
48,1666,300,1670,308,-,Order Number
49,1695,296,1873,309,00578633-HQ,Order Number
50,75,319,140,331,Jalan,Vendor Address
51,151,319,277,331,Teknokrat,Vendor Address
52,287,319,307,333,"7,",Vendor Address
53,318,319,395,331,63000,Vendor Address
54,406,319,539,334,"Cyberjaya,",Vendor Address
55,1478,309,1552,341,DATE,
56,1666,325,1670,334,:,Issuer Date
57,1695,322,1721,334,31,Issuer Date
58,1735,322,1791,337,July,Issuer Date
59,1801,322,1862,334,2019,Issuer Date
60,76,338,194,353,"Selangor,",Vendor Address
61,206,338,317,353,Malaysia,Vendor Address
62,1666,351,1670,353,:,Print date
63,75,358,112,370,Tel,Vendor Address
64,125,361,128,369,:,Vendor Address
65,139,358,241,370,03-8315,Vendor Address
66,251,358,400,370,3106/3157,Vendor Address
67,1478,344,1601,367,REPRINT,Print date
68,1666,357,1670,359,:,Print date
69,1695,348,1725,360,OS,Print date
70,1736,348,1874,360,November,Print date
