,xmin,ymin,xmax,ymax,Object,labels
0,77,77,201,102,MPH,Issuer Address
1,226,78,270,108,@,Issuer Address
2,303,69,512,107,D'Pulze,Issuer Address
3,1525,74,1579,85,Date,Issuer Date
4,1739,69,1888,95,15-08-2020,
5,1739,98,1797,114,Page,
6,1806,98,1818,110,3,
7,1828,98,1854,110,of,
8,1861,98,1873,110,3,
20,73,120,149,132,"1.G-10,",Issuer Address
21,158,120,227,131,Lower,Issuer Address
22,234,120,314,131,Ground,Issuer Address
23,323,120,380,130,Floor,Issuer Address
24,803,120,839,131,Tot,Issuer Address
25,847,120,918,132,"47594,",Issuer Address
26,928,120,1003,131,Mukim,Issuer Address
27,1013,120,1096,134,Dengkil,Issuer Address
28,73,140,154,151,D'Pulze,Issuer Address
29,163,140,271,154,Cyberjaya,Issuer Address
30,280,140,381,154,Shopping,Issuer Address
31,389,140,459,151,Centre,Issuer Address
32,803,140,869,151,63000,Issuer Address
33,877,140,960,154,"Sepang,",Issuer Address
34,969,140,1068,154,Sclangor.,Issuer Address
35,76,171,282,192,Purchase,Order Number
36,298,171,425,192,Order,Order Number
37,570,172,881,194,PO/150011266,Order Number
38,85,215,124,226,To:,Invoice Address
39,233,214,303,228,A.W.,Invoice Address
40,314,215,421,228,FABER,Invoice Address
41,431,214,556,228,CASTEL,Invoice Address
42,234,239,306,251,9.JLN,Invoice Address
43,315,239,364,251,TP2,Invoice Address
44,1041,232,1120,244,Please,
45,1129,232,1208,244,advise,
46,1217,235,1261,247,any,
47,1271,232,1327,244,item,
48,1337,232,1412,244,which,
49,1420,236,1465,247,you,
50,1475,233,1560,244,cannot,
51,1569,232,1682,247,despatch,
52,233,249,299,273,TMN,Invoice Address
53,307,261,546,273,PERINDUSTRIAN,Invoice Address
54,555,261,625,273,SIME,Invoice Address
55,634,261,690,273,UEP,Invoice Address
56,1042,251,1211,263,inaccordance,
57,1220,251,1275,263,with,
58,1284,255,1328,263,our,
59,1337,251,1495,263,instructions.,
60,1908,250,1919,256,~,
61,317,283,352,295,su,Invoice Address
62,430,283,437,286,3,Invoice Address
63,970,265,996,301,sok,
64,1136,284,1342,291,ss,
