,xmin,ymin,xmax,ymax,Object,labels
0,465,186,537,216,Ali,Issuer Address
1,564,186,674,217,and,Issuer Address
2,701,186,785,217,Co,Issuer Address
3,465,228,582,245,Saddar,Issuer Address
4,467,254,650,274,"Rawalpindi,",Issuer Address
5,667,254,803,270,Pakistan,Issuer Address
6,827,254,927,270,42000,Issuer Address
16,1358,268,1470,283,Invoice,Order Number
17,1483,268,1532,283,No.,Order Number
18,1752,269,1823,283,3265,Order Number
19,1483,302,1732,329,INVOICE,--
20,1771,311,1832,320,=,--
21,273,493,327,512,Qty,--
22,756,489,935,516,Description,--
23,1350,493,1411,508,Unit,--
24,1424,493,1502,508,Price,--
25,1633,493,1742,508,TOTAL,--
26,293,517,301,531,1,--
27,389,517,458,532,Web,--
28,471,517,570,536,Design,--
29,582,517,615,531,All,--
30,629,517,719,536,Pages,--
31,1405,517,1521,534,$150.00,--
32,1695,517,1812,534,$150.00,--
33,293,541,301,555,1,--
34,389,541,458,556,Web,--
35,471,541,663,560,Development,--
36,1405,541,1521,558,$222.00,--
37,1695,541,1812,558,$222.00,--
38,291,566,307,580,2,--
39,390,565,447,584,App,--
40,460,565,652,584,Development,--
41,1377,565,1521,582,"$5,555.00",--
42,1649,565,1812,582,"$11,110.00",--
43,293,590,301,604,1,--
44,390,589,477,604,Social,--
45,491,589,578,604,Media,--
46,590,589,732,608,Marketing,--
47,1405,589,1521,606,$250.00,--
48,1695,589,1812,606,$250.00,--
49,291,614,307,628,2,--
50,390,613,457,628,SEO,--
51,1405,613,1521,630,$200.00,--
52,1695,613,1812,630,$400.00,--
53,291,637,307,651,4,--
54,391,633,517,661,Hostings,--
55,1405,636,1521,654,$150.00,--
56,1695,636,1812,654,$600.00,--
57,1384,921,1514,948,SubTotal,--
58,1649,924,1812,942,"$12,732.00",--
59,349,946,484,964,Payment,--
60,497,946,603,960,Details,--
61,1217,949,1342,967,Shipping,--
62,1355,949,1374,963,&,--
63,1388,949,1514,967,Handling,--
64,1732,948,1812,965,$7.00,--
65,335,972,367,990,©,--
66,436,967,510,994,Cash,--
67,1190,973,1279,987,Taxes,--
68,1388,968,1462,995,State,--
69,1695,972,1812,989,$636.60,--
70,339,992,353,1018,©O,--
71,436,997,529,1011,Check,--
72,342,1016,357,1044,Oo,--
73,436,1021,523,1035,Credit,--
74,534,1021,603,1035,Card,--
75,1405,1021,1515,1035,TOTAL,--
76,1649,1020,1812,1038,"$13,375.60",--
77,289,1053,374,1067,Name,--
78,1253,1077,1338,1092,Office,--
79,1352,1077,1407,1092,Use,--
80,1419,1077,1485,1095,Only,--
82,558,1101,664,1119,Expires,--
87,308,1173,462,1188,Customer,Invoice Address
88,222,1197,308,1211,Name,Invoice Address
89,389,1197,474,1211,Aksar,Invoice Address
90,484,1197,680,1215,Technologies,Invoice Address
91,1315,1193,1381,1219,Date,--
92,1548,1197,1688,1211,4/31/2021,Issuer Date
93,220,1216,340,1245,Address,Invoice Address
94,390,1220,452,1235,STP,Invoice Address
95,466,1221,615,1235,Islamabad,Invoice Address
96,1313,1220,1397,1235,Order,--
97,1410,1221,1456,1235,No.,--
98,1548,1221,1583,1235,25,--
101,210,1240,276,1267,City,Invoice Address
102,392,1245,541,1259,Islamabad,Invoice Address
103,759,1244,834,1259,State,Invoice Address
104,851,1245,948,1259,Pakiste,Invoice Address
105,971,1245,1021,1259,ZIP,Invoice Address
106,1036,1245,1126,1259,44000,Invoice Address
107,1315,1245,1372,1263,Rep,--
108,1550,1245,1584,1259,Nil,--
109,223,1269,314,1283,Phone,Invoice Address
110,1315,1268,1380,1283,FOB,--
111,1551,1269,1601,1283,IBD,--
114,732,1321,815,1336,Insert,--
115,825,1321,950,1336,Farewell,--
116,959,1321,1111,1336,Statement,--
117,1120,1321,1190,1336,Here,--
