,xmin,ymin,xmax,ymax,Object,labels
0,223,171,279,182,PDT,
1,286,171,410,182,Reference,
2,420,171,462,182,No.,
3,224,222,280,237,Page,
4,643,222,697,233,lofl,
5,944,93,1092,107,Purchase,
6,1104,93,1201,107,Order,
7,754,208,894,217,s120047375,
8,1068,142,1176,153,Purchase,
9,1186,142,1260,153,Order,
10,1266,142,1307,153,No.,
11,1458,152,1462,153,2:,
12,1493,142,1714,153,10038-6120047375,
13,607,174,610,182,:,
14,1068,164,1176,175,Purchase,
15,1186,164,1260,175,Order,
16,1265,164,1323,175,Date,
17,1458,174,1462,175,2,
18,1489,164,1619,175,09/12/2020,Issuer Date
19,1068,193,1156,204,Printed,
20,1162,196,1191,204,on,
21,1458,196,1462,198,2,
22,1494,193,1619,204,10/12/2020,Print date
23,1627,193,1724,204,08:19:16,Print date
24,1070,222,1182,237,Expected,
25,1190,222,1285,233,Receive,
26,1296,222,1352,233,Date,
27,1362,222,1385,233,&,
28,1393,222,1462,233,Time:,
29,1489,221,1619,233,30/12/2020,Deliver Date
30,1632,222,1724,233,18:00:00,Deliver Date
32,231,244,322,255,Vendor,
36,1078,244,1170,259,Ship-To,
37,1180,244,1284,255,Location,
40,224,266,295,277,04516,Vendor Address
41,305,266,415,277,AWFAO2,Vendor Address
42,225,288,508,299,A.W.FABER-CASTELL,Vendor Address
43,515,288,557,302,(MD),Vendor Address
44,566,288,622,299,SDN,Vendor Address
45,630,288,689,299,BHD,Vendor Address
46,226,310,281,322,NO.9,Vendor Address
47,290,320,295,324,",",Vendor Address
48,303,310,390,322,JALAN,Vendor Address
49,400,310,432,322,TP,Vendor Address
50,440,310,453,322,2,Vendor Address
51,224,332,324,344,TAMAN,Vendor Address
52,334,332,555,344,PERINDUSTRLIAN,Vendor Address
53,566,332,633,344,SIME,Vendor Address
54,642,333,698,346,"UEP,",Vendor Address
55,223,354,295,366,47600,Vendor Address
56,305,354,419,366,SUBANG,Vendor Address
57,427,354,500,366,JAYA,Vendor Address
58,507,354,658,366,SELANGOR,Vendor Address
59,663,355,758,366,DARUL,Vendor Address
60,764,354,856,366,LLISAN,Vendor Address
61,1075,266,1141,277,10038,Shipping Address
62,1150,266,1192,277,KG,Shipping Address
63,1070,288,1174,299,Beonsave,Shipping Address
64,1183,288,1238,299,Cash,Shipping Address
65,1246,288,1268,299,&,Shipping Address
66,1275,288,1339,303,Carry,Shipping Address
67,1346,288,1405,302,(KG),Shipping Address
68,1414,288,1456,299,Sdn,Shipping Address
69,1463,288,1509,299,Bhd,Shipping Address
70,1070,311,1108,322,Lot,Shipping Address
71,1116,310,1236,324,"5830,Jalan",Shipping Address
72,1242,310,1368,322,Perusahaan,Shipping Address
73,1376,310,1429,323,"Satu,",Shipping Address
74,1441,311,1543,322,Kawasan,Shipping Address
75,1549,310,1692,322,Perindustrian,Shipping Address
76,1698,310,1821,325,"Kamumting,",Shipping Address
77,1071,332,1142,344,34600,Shipping Address
78,1149,332,1341,347,"Kamumting,Perak",Shipping Address
79,1347,332,1409,344,Darul,Shipping Address
80,1414,332,1506,344,Ridzuan.,Shipping Address
83,224,376,260,388,‘Tel,Vendor Address
84,268,380,271,388,:,Vendor Address
85,279,377,433,388,03-56334718,Vendor Address
86,442,368,525,398,563347,
87,530,377,573,388,Fax,Vendor Address
88,582,380,585,388,:,Vendor Address
89,592,377,745,388,03-56341231,Vendor Address
90,1070,376,1117,388,‘Tel:,Shipping Address
91,1124,376,1298,388,05-8917830/31,Shipping Address
92,1431,380,1434,388,:,Shipping Address
93,1442,377,1581,388,O5-8917833,Shipping Address
94,225,399,307,410,E-mail:,
95,1072,399,1141,410,E-mail,
96,1150,402,1153,410,:,
97,231,422,270,430,Hem,
98,476,410,589,440,Description,
99,1085,421,1197,430,SKU/Order,
100,1206,421,1246,430,Unit,
101,1335,422,1395,430,Order,
102,1404,422,1450,430,Pack,
103,1547,410,1590,440,Total,
104,1663,421,1703,430,Unit,
105,1711,421,1762,430,Price,
106,231,429,312,459,Barcode,
107,1090,429,1175,459,Capacity,
108,1362,440,1404,449,Free,
109,1413,440,1453,449,Unit],
110,1551,440,1592,451,Qty],
111,1713,440,1762,450,arp,
112,1871,440,1920,450,any,
113,225,459,353,471,542360024,
114,501,469,503,472,.,
115,1249,459,1296,471,10.0],
116,1419,459,1452,471,1.0],
117,1684,469,1695,476,>,
118,1720,469,1732,477,OD,
119,1856,469,1904,478,50.2,
120,232,479,418,490,0555684621405,
121,469,469,500,480,FC,
122,512,469,573,480,UHAU,
123,581,469,633,480,ALL,
124,640,469,766,480,PURPOSE,
125,773,469,873,480,7ML-PB,
126,881,469,918,480,OF,
127,932,469,935,480,1,
128,948,469,1062,480,91040375,
129,1192,479,1292,490,AUN,
130,1417,479,1450,490,oo,
131,1547,460,1592,490,10.0],
132,1684,460,1765,490,2.0200),
133,1856,469,1920,480,20.20,
134,225,499,353,510,543000162,
135,1250,490,1296,520,10.0),
136,1420,499,1452,510,1.0],
137,481,508,503,511,2c,
138,617,509,619,511,5,
139,893,509,895,511,5,
140,947,508,951,512,:,
141,1684,508,1695,516,>,
142,1856,508,1868,517,2,
143,232,518,419,530,O55S5684655769,
144,469,508,503,520,IPC,
145,512,509,555,520,NX,
146,561,508,638,520,B/PEN,
147,649,508,683,520,0.5,
148,692,508,916,520,2BLU/1BLK/1RED,
149,922,508,952,520,48,
150,1417,518,1452,529,oo,
151,1545,500,1592,530,10.0],
152,1683,508,1762,520,2.3400,
153,1856,508,1920,520,23.40,
155,224,1162,291,1174,Grand,
156,300,1162,358,1174,‘Total,
157,363,1163,451,1174,Amount,
158,469,545,554,556,1642303,
166,228,1197,263,1204,Terms,
167,268,1196,280,1204,&,
168,284,1196,321,1204,Cone,
169,224,1208,240,1215,foe,
170,245,1208,298,1217,rejected,
173,323,1204,1006,1221,  ,
176,1009,1196,1032,1204,heel,
177,1038,1196,1068,1204,with,
178,1074,1198,1090,1204,its,
179,1095,1199,1125,1204,own,
180,1130,1196,1173,1204,deliver,
181,1007,1208,1032,1215,less,
182,1037,1209,1104,1215,overwrite,
183,1108,1208,1126,1217,by,
184,1130,1208,1177,1215,Nation:,
185,787,1220,799,1227,&,
186,803,1221,859,1229,paynent,
190,1724,1185,1741,1213,"Ly,",
191,1745,1196,1815,1204,additional,
192,1821,1198,1880,1206,quantity,
193,1885,1196,1911,1204,will,
194,1756,1209,1802,1215,canner,
195,1807,1208,1823,1215,be,
196,1823,1208,1857,1215,soled.,
197,1866,1208,1895,1217,Any,
201,771,1235,782,1242,*,
202,791,1235,836,1247,This,
203,845,1235,860,1247,is,
204,867,1237,971,1250,Computer,
205,978,1235,1091,1250,"generated,",
206,1100,1239,1126,1247,no,
207,1135,1235,1230,1250,signature,
208,1239,1235,1253,1247,is,
209,1261,1235,1372,1250,required.,
210,1359,1225,1370,1257,*,
