,xmin,ymin,xmax,ymax,Object,labels
0,520,196,687,209,MINDS,
1,1094,281,1194,294,Invoice,
2,188,363,254,372,FROM,Issuer Address
3,1093,363,1123,372,TO,Shipping Address
4,187,407,333,423,Foursight,Issuer Address
5,342,407,531,420,Publications,Issuer Address
6,540,408,587,420,Ltd,Issuer Address
7,1092,407,1155,420,SAP,Shipping Address
8,1164,407,1309,423,Company,Shipping Address
9,187,439,272,451,Jones,Issuer Address
10,283,439,435,454,Thompson,Issuer Address
11,1093,441,1179,454,coupa,Shipping Address
12,1191,439,1301,454,support,Shipping Address
13,188,457,222,469,20,Issuer Address
14,235,457,297,469,Park,Issuer Address
15,309,457,344,472,"St,",Issuer Address
16,358,457,562,472,"Peterborough,",Issuer Address
17,576,457,629,469,PES,Issuer Address
18,641,457,699,469,6XN,Issuer Address
19,1094,457,1132,469,us,Shipping Address
20,189,475,228,487,UK,Issuer Address
21,1093,486,1482,501,coupasupport@coupa.com,Shipping Address
22,187,504,516,520,Thompson@gmail.com,Issuer Address
23,187,541,238,553,Tax,Issuer Address
24,251,540,421,556,Registration,Issuer Address
25,435,541,549,553,Number,Issuer Address
26,187,559,319,571,WE-0134,Issuer Address
27,187,626,297,639,Invoice,Order Number
28,306,626,368,639,No.:,Order Number
29,393,626,548,639,WER-7654,Order Number
30,1093,635,1160,660,Due:,Deliver Date
31,1197,639,1255,655,May,Deliver Date
32,1267,639,1329,654,"11th,",Deliver Date
33,1343,639,1408,651,2021,Deliver Date
34,187,653,297,666,Invoice,Issuer Date
35,306,654,389,666,Date:,Issuer Date
36,426,654,484,669,May,Issuer Date
37,496,654,549,669,"6th,",Issuer Date
38,563,654,627,666,2021,Issuer Date
39,212,736,276,748,Item,
40,912,731,1054,759,HRS/QTY,
41,1184,731,1251,759,Rate,
42,1350,736,1406,748,Tax,
43,1655,736,1783,748,Subtotal,
44,199,779,282,804,Pencil,
45,977,783,986,795,q,
46,1188,783,1246,795,1.99,
47,1337,781,1443,805,Service,
48,1657,783,1712,795,PKR,
49,1724,783,1782,795,1.99,
50,1337,808,1453,823,Tax(G6%),
51,1352,907,1462,920,Invoice,
52,1470,907,1616,923,Summary,
53,1121,952,1239,978,Subtotal,
54,1721,957,1777,969,PKR,
55,1789,956,1846,969,1.99,
56,1120,1031,1226,1044,Service,
57,1238,1032,1354,1048,Tax(6%),
58,1722,1031,1777,1043,PKR,
59,1789,1031,1846,1044,O.12,
60,1120,1102,1191,1126,Total,
61,1727,1106,1782,1118,PKR,
62,1795,1106,1844,1118,2.11,
