,xmin,ymin,xmax,ymax,Object,labels
0,944,93,1092,107,Purchase,invoice details
1,1104,93,1201,107,Order,invoice details
2,1068,142,1176,153,Purchase,invoice details
3,1186,142,1260,153,Order,invoice details
4,1266,142,1307,153,No.,invoice details
5,1458,152,1462,153,:,invoice details
6,1493,142,1715,153,10086-6120028114,invoice details
7,223,171,279,182,PDT,invoice details
8,286,171,410,182,Reference,invoice details
9,420,171,462,182,No.,invoice details
10,607,174,610,182,:,invoice details
11,1068,164,1176,175,Purchase,invoice details
12,1186,164,1260,175,Order,invoice details
13,1266,164,1323,175,Date,invoice details
14,1458,174,1462,175,2,invoice details
15,1489,164,1619,175,9/12/2020,invoice details
16,1068,193,1156,204,Printed,invoice details
17,1162,196,1191,204,on,invoice details
18,1458,196,1462,198,A,invoice details
19,1494,193,1619,204,10/12/2020,invoice details
20,1627,193,1724,204,8:19:16,invoice details
27,758,208,892,217,e1z0028114,invoice details
28,1458,203,1462,204,.,invoice details
29,224,214,280,242,Page,invoice details
30,607,225,610,233,2,invoice details
31,643,222,697,233,lofl,invoice details
32,1070,222,1182,237,Expected,invoice details
33,1190,222,1285,233,Receive,invoice details
34,1296,222,1352,233,Date,invoice details
35,1362,222,1385,233,&,invoice details
36,1393,222,1462,233,Time:,invoice details
37,1489,221,1619,233,30/12/2020,invoice details
38,1632,222,1724,233,18:00:00,invoice details
39,231,236,322,264,Vendor,issuer address
40,1078,244,1170,259,Ship-To,shipping address
41,1180,244,1284,255,Location,shipping address
42,224,266,295,277,4516,issuer address
43,305,266,415,277,AWFAO2,issuer address
44,1075,266,1141,277,10086,shipping address
45,1150,266,1201,277,TRT,shipping address
46,225,288,508,299,A.W.FABER-CASTELL,issuer address
47,515,288,557,302,(MD),issuer address
48,566,288,622,299,SDN,issuer address
49,630,288,689,299,BHD,issuer address
50,1070,288,1223,299,BCONSAVE,shipping address
51,1230,288,1306,299,CASH,shipping address
52,1313,288,1335,299,&,shipping address
53,1342,288,1439,299,CARRY,shipping address
54,1446,288,1510,302,(KM),shipping address
55,1519,288,1575,299,SDN,shipping address
56,1583,288,1642,299,BHD,shipping address
57,226,310,281,322,NO.9,issuer address
58,290,320,295,324,",",issuer address
59,303,310,390,322,JALAN,issuer address
60,400,310,432,322,TP,issuer address
61,441,310,453,322,2,issuer address
62,224,332,324,344,TAMAN,issuer address
63,334,332,555,344,PERINDUSTRLIAN,issuer address
64,566,332,633,344,SIME,issuer address
65,642,333,698,346,"UEP,",issuer address
66,224,354,295,366,47600,issuer address
67,305,354,419,366,SUBANG,issuer address
68,427,354,500,366,JAYA,issuer address
69,507,354,658,366,SELANGOR,issuer address
70,663,355,758,366,DARUL,issuer address
71,764,354,856,366,LLISAN,issuer address
72,1072,310,1123,322,PTD,shipping address
73,1129,310,1208,324,"43282,",shipping address
74,1216,310,1303,322,JALAN,shipping address
75,1315,310,1389,322,ENAU,shipping address
76,1545,310,1667,324,"TERATAT,",shipping address
77,1071,332,1142,344,81300,shipping address
78,1166,332,1359,344,SKUDALJOINOR,shipping address
79,1364,333,1459,344,DARUL,shipping address
80,1470,325,1518,353,TAK,shipping address
81,1517,325,1579,353,ZIM.,shipping address
93,224,376,260,388,‘Vel,issuer address
94,268,380,271,388,:,issuer address
95,279,377,433,388,03-56334718,issuer address
96,442,369,524,397,563347,issuer address
97,537,377,573,388,ax,issuer address
98,582,380,585,388,:,issuer address
99,592,377,745,388,O3-56341231,issuer address
100,1070,376,1106,388,‘Tel,shipping address
101,1114,380,1117,388,:,shipping address
102,1124,377,1207,388,07-824,shipping address
103,1215,377,1270,388,6053,shipping address
104,226,399,307,410,E-mail:,issuer address
105,1072,399,1153,410,E-mail:,shipping address
106,231,422,272,430,Tem,
107,476,411,589,439,Description,description
108,1085,421,1197,430,SKU/Order,
109,1206,421,1246,430,Unit,
110,1335,422,1395,430,Order,
111,1404,422,1450,430,Pack,
112,1547,411,1585,439,Total,quantity
113,1663,421,1703,430,Unit,product price
114,1711,421,1762,430,Price|,product price
115,1844,422,1921,430,Amoung],product net
116,231,430,310,458,Barcode,
117,1090,430,1175,458,Capacity,
118,1413,440,1453,449,Unit],
119,1713,440,1762,450,arn),product price
120,1871,440,1920,450,ann,product net
121,225,459,353,471,542360024,
122,501,469,503,472,.,
123,1249,459,1296,471,10.0],
124,1408,451,1452,479,2.0],
125,1684,469,1695,476,5,
126,1720,469,1732,477,OD,
127,232,479,418,490,5.55685E+11,
128,469,469,500,480,FC,description
129,581,469,633,480,ALL,description
130,640,469,766,480,PURPOSE,description
131,773,469,873,480,7ML-PB,description
132,881,469,918,480,OF,description
133,932,469,935,480,|,description
134,948,469,1062,480,91040375,description
135,1192,479,1292,490,LUND,
136,1417,479,1452,490,oo,
137,1531,461,1592,489,20.0},quantity
138,1684,461,1762,489,2.0200],product price
139,1855,469,1920,480,40.40],product net
140,225,499,350,510,543000091,
141,521,508,525,509,-,
142,566,508,571,509,-,
143,841,508,845,509,<,
144,1250,491,1296,519,10.0},
145,1421,499,1452,510,1.0),
146,481,508,531,512,CC,
147,573,508,576,512,:,
148,983,508,1009,517,23,
149,1684,508,1695,516,>,
150,1856,508,1868,517,>,
151,232,518,419,529,9.55606E+12,
152,469,508,503,520,FC,description
153,513,509,600,520,CLICK,description
154,607,508,729,520,BALLPEN,description
155,740,509,813,523,(BLK),description
156,821,508,850,520,4S,description
157,860,508,947,520,0.7MM,description
158,957,508,1039,520,142255,description
159,1417,518,1452,529,ool,
160,1545,501,1592,529,10.0],quantity
161,1683,501,1766,529,2.2100),product price
162,1856,508,1920,520,22.10},product net
163,225,538,353,550,543000158,
164,1249,538,1293,550,10,
165,1420,538,1452,550,1.0},
166,498,548,504,558,>,
167,526,548,576,558,CLIC,
168,694,540,708,568,Ez,
169,837,548,849,559,S,
170,875,557,889,559,0.5,
171,983,548,1020,559,259,
172,1572,557,1575,559,.,
173,1683,548,1718,559,2.2,
174,1856,548,1889,559,22,
175,232,558,419,569,5.56089E+11,
176,470,548,500,559,FC,description
177,513,548,598,559,CLICK,description
178,608,548,729,559,BALLPEN,description
179,740,548,813,562,(BLK),description
180,821,548,850,559,4S,description
181,860,548,945,559,0.5MM,description
182,958,548,1039,559,142595,description
183,1191,558,1292,569,vont.,
184,1417,558,1452,569,oo,
185,1547,548,1592,559,10.0],quantity
186,1725,548,1762,559,100),product price
187,1870,548,1920,559,2.10},product net
188,225,578,349,589,543010051,
189,874,587,878,588,",",
190,1252,570,1296,598,6.0],
191,1421,578,1452,589,1.0),
192,1565,587,1569,588,<,
193,500,587,504,591,>,
194,604,587,627,598,SRI,
195,711,596,747,598,TE,
196,880,587,893,599,S,
197,904,587,916,598,2,
198,1699,597,1710,599,4,
199,1871,597,1915,599,5.48,
200,232,597,419,608,5.55685E+11,
201,469,587,499,599,FC,description
202,512,580,584,608,TRUE,description
203,591,587,636,599,GEL,description
204,650,580,759,608,WALLET,description
205,773,580,848,608,1.0MM,description
206,865,587,892,598,68,description
207,917,587,989,598,242609,description
208,1417,597,1452,608,ool,
209,1557,580,1595,608,6.0],quantity
210,1684,587,1762,599,7.5800],product price
211,1855,587,1920,598,45.48],product net
212,224,1172,293,1184,[Grand,billing info
213,300,1172,356,1183,Total,billing info
214,365,1172,451,1184,Amount,billing info
215,1846,1172,1920,1183,130.08},billing info
216,224,1206,263,1213,Hens,note
217,268,1206,279,1213,&,note
218,284,1206,362,1213,Conditions,note
219,362,1194,372,1222,:,note
220,377,1206,434,1213,Please,note
221,420,1194,461,1222,bring,note
222,461,1206,517,1215,along.,note
223,507,1194,517,1222,a,note
224,522,1208,555,1215,copy,note
225,560,1206,598,1213,ofthe,note
226,601,1194,639,1222,Order,note
227,645,1206,682,1213,when,note
228,687,1206,759,1215,delivering,note
229,763,1206,805,1215,goods.,note
230,814,1206,847,1213,Fach,note
231,852,1206,915,1213,Purchase,note
232,920,1207,950,1213,must,note
233,955,1206,964,1213,be,note
234,965,1206,1032,1213,attached,note
235,1037,1206,1068,1213,with,note
236,1075,1208,1090,1213,its,note
237,1095,1208,1125,1213,own,note
238,1130,1206,1202,1215,"delivering,",note
239,1206,1206,1300,1213,order/invoice.,note
240,1308,1206,1369,1215,Delivery,note
241,1373,1207,1431,1215,quantity,note
242,1437,1206,1469,1213,shall,note
243,1475,1206,1524,1215,comply,note
244,1529,1207,1543,1213,to,note
245,1547,1206,1567,1213,the,note
246,1573,1206,1634,1215,purchase,note
247,1638,1206,1672,1213,onder,note
248,1678,1207,1741,1215,"quantity,",note
249,1745,1206,1815,1213,additional,note
250,1821,1207,1881,1215,quantity,note
251,1886,1206,1911,1213,will,note
252,224,1218,240,1225,oe,note
253,244,1218,298,1227,rejected,note
254,302,1218,395,1227,automutically.,note
255,403,1218,426,1225,ALL,note
256,431,1218,496,1225,itemshall,note
257,497,1206,519,1234,be,note
258,522,1218,586,1227,scpanited,note
259,591,1218,679,1227,individually,note
260,683,1220,697,1225,in,note
261,701,1206,736,1234,order,note
262,741,1219,755,1225,to,note
263,760,1218,826,1225,simpothen,note
264,831,1218,852,1225,the,note
265,855,1220,921,1227,receiving,note
266,924,1220,976,1227,process.,note
267,986,1218,1032,1225,Unless,note
268,1037,1219,1104,1225,overwrite,note
269,1108,1218,1125,1227,by,note
270,1130,1218,1190,1225,National,note
271,1195,1218,1258,1226,Contnct.,note
272,1262,1217,1279,1225,all,note
273,1284,1218,1326,1227,goods,note
274,1331,1220,1351,1225,are,note
275,1355,1220,1372,1225,on,note
276,1377,1218,1398,1225,the,note
277,1495,1218,1530,1225,busis,note
278,1534,1218,1559,1225,and,note
279,1563,1206,1634,1234,retumable,note
280,1638,1206,1706,1234,whenever,note
281,1709,1218,1751,1227,goods,note
282,1756,1219,1802,1225,cannot,note
283,1807,1218,1823,1225,be,note
284,1827,1218,1857,1225,sold.,note
285,1865,1218,1895,1227,Any,note
286,298,1229,311,1236,of,note
287,318,1217,344,1245,zits,note
288,349,1230,363,1236,to,note
289,368,1229,435,1236,Eoonsave,note
290,439,1229,497,1236,Staffwill,note
291,504,1229,542,1236,result,note
292,548,1231,560,1236,in,note
293,566,1229,634,1236,intrediare,note
294,638,1230,701,1236,terminate,note
295,705,1229,782,1236,ofaccounts,note
296,787,1229,800,1236,&,note
297,804,1230,860,1238,"paynrent,",note
301,770,1245,782,1251,*,note
302,791,1245,836,1256,This,note
303,844,1245,860,1256,is,note
304,867,1246,972,1260,computer,note
305,978,1245,1091,1260,"generated,",note
306,1099,1249,1126,1257,no,note
307,1135,1245,1230,1260,signature,note
308,1238,1245,1253,1256,is,note
309,1261,1245,1372,1260,required.,note
310,1358,1236,1369,1266,*,note
